participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.comprehension_question_one,player.comprehension_question_two,player.comprehension_question_three_a,player.comprehension_question_three_b,player.comprehension_question_four_a,player.comprehension_question_four_b,player.comprehension_question_four_c,player.time_to_answer,player.start_time,player.time_spent_instrucs,player.time_spent_compqs,player.num_errors_q_one,player.num_errors_q_two,player.num_errors_q_three_a,player.num_errors_q_three_b,player.num_errors_q_four_a,player.num_errors_q_four_b,player.num_errors_q_four_c,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,64g9jzj5,P12,0,4,96,pgg_additive_random_instrucs,ResultsWaitPage,2024-02-27 18:05:16.421903,1,,,0.0,1,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,300,1709057621.2049117,204.54079842567444,300.2136788368225,0,1,0,0,0,0,3,1,1,oneb7wj3,,,,,0
2,qx4cw72u,P16,0,3,96,pgg_additive_random_instrucs,Results,2024-02-27 18:05:31.924265,1,,,0.0,2,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,300,1709057715.415883,283.248583316803,300.17412972450256,0,1,0,0,10,0,1,1,1,oneb7wj3,,,,,0
3,b4hfgx6d,P11,0,4,96,pgg_additive_random_instrucs,ResultsWaitPage,2024-02-27 18:05:33.288263,1,,,0.0,3,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,300,1709057627.688134,194.08368277549744,300.1934463977814,0,1,3,0,1,0,0,1,1,oneb7wj3,,,,,0
4,arwm0p2d,P1,0,1,96,pgg_additive_random_instrucs,Instructions,2024-02-27 18:05:35.179999,1,,,0.0,4,,0.0,,,,,,,,300,1709057135.205824,0.0,0.0,0,0,0,0,0,0,0,1,1,oneb7wj3,,,,,0
5,0uqkkrxj,P2,0,4,96,pgg_additive_random_instrucs,ResultsWaitPage,2024-02-27 18:05:35.614153,1,,,0.0,5,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,300,1709057781.2258263,345.3364887237549,300.2496130466461,0,1,0,0,0,0,0,1,1,oneb7wj3,,,,,0
6,325xrxge,P13,0,3,96,pgg_additive_random_instrucs,Results,2024-02-27 18:05:36.157975,1,,,0.0,6,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,300,1709057874.483191,430.67853331565857,307.6296589374542,1,0,0,0,0,0,0,1,1,oneb7wj3,,,,,0
7,o7ig8x83,P6,0,4,96,pgg_additive_random_instrucs,ResultsWaitPage,2024-02-27 18:05:36.934162,1,,,0.0,7,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,300,1709057761.5777438,324.38359022140503,300.242351770401,0,0,0,0,1,0,2,1,1,oneb7wj3,,,,,0
8,gmzapysw,P4,0,3,96,pgg_additive_random_instrucs,Results,2024-02-27 18:05:38.691550,1,,,0.0,8,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,300,1709057572.0612602,132.9475133419037,300.31868624687195,1,0,0,0,0,0,0,1,1,oneb7wj3,,,,,0
9,9ya8qp8x,P3,0,3,96,pgg_additive_random_instrucs,Results,2024-02-27 18:05:40.396465,1,,,0.0,9,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,300,1709057826.3807385,377.68632459640503,308.282310962677,1,1,0,0,0,0,0,1,1,oneb7wj3,,,,,0
10,ikkala1f,P15,0,3,96,pgg_additive_random_instrucs,Results,2024-02-27 18:05:43.152967,1,,,0.0,10,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,300,1709058090.8787527,640.9603748321533,306.68400597572327,1,0,0,0,0,0,0,1,1,oneb7wj3,,,,,0
11,uytv2u3y,P8,0,1,96,pgg_additive_random_instrucs,Instructions,2024-02-27 18:05:48.291392,1,,,0.0,11,,0.0,,,,,,,,300,1709057148.3111074,0.0,0.0,0,0,0,0,0,0,0,1,1,oneb7wj3,,,,,0
12,m9lbeptg,P9,0,3,96,pgg_additive_random_instrucs,Results,2024-02-27 18:05:51.544209,1,,,0.0,12,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,300,1709057904.557489,445.69378185272217,307.3010513782501,1,0,0,0,0,0,1,1,1,oneb7wj3,,,,,0
13,osxvxukb,P7,0,4,96,pgg_additive_random_instrucs,ResultsWaitPage,2024-02-27 18:05:53.410769,1,,,0.0,13,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,300,1709057765.2633097,311.5243203639984,300.2771909236908,0,0,0,0,1,0,5,1,1,oneb7wj3,,,,,0
14,1h02d8c8,P14,0,4,96,pgg_additive_random_instrucs,ResultsWaitPage,2024-02-27 18:05:55.911537,1,,,0.0,14,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,300,1709057726.6243823,270.4870066642761,300.18965005874634,0,0,0,0,0,0,4,1,1,oneb7wj3,,,,,0
15,bxj0h1l7,P5,0,4,96,pgg_additive_random_instrucs,ResultsWaitPage,2024-02-27 18:06:00.071424,1,,,0.0,15,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,300,1709057674.0845828,213.70330238342285,300.23541593551636,0,0,0,0,2,0,0,1,1,oneb7wj3,,,,,0
16,timfpskc,,0,0,96,,,,0,,,0.0,16,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,oneb7wj3,,,,,0
1,z6zvu5y9,P1,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:17:28.972381,1,,,18.0,1,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,300,1709058182.1845472,32.81368279457092,300.3097367286682,0,0,0,0,1,0,1,1,1,62k7oqv7,,,,,0
2,tltzhnno,P2,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:17:39.831956,1,,,18.0,2,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,300,1709058201.8099306,41.74056077003479,300.1775107383728,0,1,0,0,0,0,5,1,1,62k7oqv7,,,,,0
3,q6zhihya,P3,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:17:44.365161,1,,,16.0,3,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,300,1709058420.5606942,255.98895144462585,300.1912558078766,0,1,1,0,0,0,5,1,1,62k7oqv7,,,,,0
4,u9zm906p,P7,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:17:45.303605,1,,,19.0,4,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,300,1709058168.9905593,3.387233257293701,300.2467064857483,0,0,2,0,0,0,8,1,1,62k7oqv7,,,,,0
5,hq64a48z,P6,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:17:48.950518,1,,,16.0,5,,0.0,10.0,1,0.0,10.0,11.0,4.5,11.5,300,1709058213.0824537,120.96033120155334,227.4174828529358,0,0,0,0,1,0,6,1,1,62k7oqv7,,,,,0
6,im4x5o2w,P9,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:17:57.113859,1,,,14.0,6,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,300,1709058208.193711,30.91170835494995,300.15315079689026,0,0,0,0,0,0,8,1,1,62k7oqv7,,,,,0
7,mwrun8gi,P5,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:18:04.394028,1,,,13.0,7,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,300,1709058190.7213235,6.078948974609375,300.2317645549774,0,0,0,0,0,1,15,1,1,62k7oqv7,,,,,0
8,xdbmchmc,P14,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:18:15.505565,1,,,18.0,8,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,300,1709058227.2685359,31.546176433563232,300.1598210334778,0,0,0,0,0,1,6,1,1,62k7oqv7,,,,,0
9,lu9bmylx,P16,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:18:21.391998,1,,,18.0,9,,0.0,10.0,1,0.0,10.0,11.0,4.5,11.5,300,1709058098.6326182,57.69646501541138,144.77512979507446,0,0,0,0,1,0,2,1,1,62k7oqv7,,,,,0
10,6ofx6ebx,P10,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:19:03.933675,1,,,18.0,10,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,300,1709058656.2237039,523.7035989761353,188.05827021598816,1,0,0,0,0,0,2,1,1,62k7oqv7,,,,,0
11,cqzqkvar,P15,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:19:20.920887,1,,,14.0,11,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,300,1709058280.1463926,18.82744002342224,300.28519678115845,0,0,0,0,1,0,0,1,1,62k7oqv7,,,,,0
12,jpg41nfb,P13,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:19:47.503455,1,,,15.0,12,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,300,1709058349.7692935,61.96756315231323,300.19018292427063,0,0,0,0,3,0,0,1,1,62k7oqv7,,,,,0
13,9tylgozx,P12,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:20:07.091618,1,,,18.0,13,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,300,1709058315.5510716,8.21207332611084,300.2167203426361,0,0,0,0,0,0,9,1,1,62k7oqv7,,,,,0
14,cig3y4ax,P4,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:20:23.408774,1,,,14.0,14,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,300,1709058571.0334158,247.37525343894958,300.2335379123688,0,0,2,0,0,0,0,1,1,62k7oqv7,,,,,0
15,g3j95yy1,P8,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:20:30.290104,1,,,14.0,15,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,300,1709058444.2039175,113.6691677570343,300.22453904151917,0,0,1,1,4,0,0,1,1,62k7oqv7,,,,,0
16,pame0x3w,P11,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:20:55.190443,1,,,13.0,16,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,300,1709058409.1563666,53.75330662727356,300.1932439804077,0,0,0,0,0,0,6,1,1,62k7oqv7,,,,,0
